unique_code,active,anomaly_detection_active,counter_reading,create_date,customer,equipment_id,equipment_name,equipment_no,equipment_type,gen_read_val,good,job_order_operation_id,job_order_reference_no,machine_state,measurement_date,operationname,operationno,operationtaskcode,plant_id,plant_name,prod_order_reference_no,produced_stock_id,produced_stock_name,produced_stock_no,shift_finish_time,shift_start_time,stock_id,trend_calculation_active,update_date,valuation_code,work_center_id,work_center_name,work_center_no,work_station_id,work_station_name,work_station_no,workstation_state,year
786b5279-020b-4c03-90ce-91b454302150,False,True,8.1,2025-09-25 09:42:08.000+0000,teknia_group,7138,Dehumidification Temp.,Dehumidification Temp.,False,,True,895376,011023 - 5,Running,2025-09-25 09:42:08.000+0000,Spraying Granulacija,011023 - 5,62,149,MARIFARM,011023,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
ab8cb10a-8c49-4b86-84a7-5a15b6fa17a9,True,True,13.3,2024-03-25 09:47:47.000+0000,teknia_group,7138,Dehumidification Temp.,Dehumidification Temp.,False,,True,905191,008973 - 14,Stopped,2024-03-25 09:47:47.000+0000,Heating/Cooling Susenje,008973 - 14,25,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
a213784a-2ce5-42be-8c78-d682609471a4,False,True,0.1,2025-06-09 14:22:53.000+0000,teknia_group,7134,Atomising Air Pressure,Atomising Air Pressure,False,,True,897188,010708 - 2,Running,2025-06-09 14:22:53.000+0000,Heating/Cooling Predgretje posode,010708 - 2,21,149,MARIFARM,010708,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
ac9da05d-dd0f-4e83-ac6f-e08fbbdc56c9,False,True,21.25,2024-03-19 12:06:07.000+0000,teknia_group,7142,Inlet Air Handler Exit Temp.,Inlet Air Handler Exit Temp.,False,,False,895394,005566 - 6,Running,2024-03-19 12:06:07.000+0000,Heating/Cooling Susenje,005566 - 6,25,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
6e78a19f-4eea-4eee-a9cc-1e1df4902cf5,False,True,1654.5,2024-01-04 12:07:58.000+0000,teknia_group,7139,PD Product,PD Product,False,,False,895386,005565 - 6,Stopped,2024-01-04 12:07:58.000+0000,Heating/Cooling Susenje,005565 - 6,25,149,MARIFARM,005565,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
ef966dd1-65c5-4ccd-90f2-a62d1f59bf6b,False,True,1971.0,2024-01-12 11:02:05.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,895038,008633 - 5,Stopped,2024-01-12 11:02:05.000+0000,Discharging Side Praznjenje,008633 - 5,81,149,MARIFARM,008633,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
539a6ede-8f67-464e-9860-75be2db12213,False,True,50.0,2025-03-13 18:02:11.000+0000,teknia_group,7137,Spray Quantity Total,Spray Quantity Total,False,,True,897277,010330 - 7,Running,2025-03-13 18:02:11.000+0000,Discharging Side Praznjenje,010330 - 7,81,149,MARIFARM,010330,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
3e58ee32-bfd2-461a-b01f-0f1dba9a8dc0,False,True,85.1,2025-03-25 09:15:25.000+0000,teknia_group,7129,Inlet Air Temperature,Inlet Air Temperature,False,,True,897215,010342-1 - 5,Running,2025-03-25 09:15:25.000+0000,Spraying Prsenje,010342-1 - 5,61,149,MARIFARM,010342-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
baf68eeb-19c6-443b-951a-6542866b1100,False,True,70.1,2025-03-14 06:48:51.000+0000,teknia_group,7142,Inlet Air Handler Exit Temp.,Inlet Air Handler Exit Temp.,False,,True,897261,010330-1 - 1,Running,2025-03-14 06:48:51.000+0000,Preconditioning,010330-1 - 1,10,149,MARIFARM,010330-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
2354860d-cf18-4b16-b11c-5ff24535aa74,False,True,31.9,2024-03-19 11:41:33.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,False,895394,005566 - 6,Running,2024-03-19 11:41:33.000+0000,Heating/Cooling Susenje,005566 - 6,25,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
daf393b9-211e-4bbc-9453-ab31a38a3044,False,True,36.3,2025-06-13 07:18:24.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,True,897150,010714-1 - 4,Running,2025-06-13 07:18:24.000+0000,Heating/Cooling Gretje surovin,010714-1 - 4,24,149,MARIFARM,010714-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
7f6d07d0-0ae5-4914-8c4e-e104b5a1f2f8,True,True,62.9,2024-03-25 08:30:59.000+0000,teknia_group,7142,Inlet Air Handler Exit Temp.,Inlet Air Handler Exit Temp.,False,,True,905196,008973 - 9,Running,2024-03-25 08:30:59.000+0000,Preconditioning,008973 - 9,10,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
f02f781b-ced6-4321-99a1-50e413065c61,False,True,0.0,2024-03-25 08:27:59.000+0000,teknia_group,7139,PD Product,PD Product,False,,False,895408,008973 - 1,Running,2024-03-25 08:27:59.000+0000,Preconditioning,008973 - 1,10,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
6d985f83-eecf-4e21-a402-e239a8dd2ef2,True,True,0.0,2024-03-19 10:16:52.000+0000,teknia_group,7135,Spray Rate,Spray Rate,False,,True,905204,005566 - 9,Running,2024-03-19 10:16:52.000+0000,Preconditioning,005566 - 9,10,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
30f3e79a-14f7-45d5-ab4b-c058af1a7ef0,False,True,35.1,2025-03-24 16:22:43.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,True,897221,010342 - 3,Running,2025-03-24 16:22:43.000+0000,Charging Polnjenje,010342 - 3,41,149,MARIFARM,010342,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
b393e3db-f0a9-488b-8866-1b764d438373,False,True,1.5,2024-01-04 10:04:18.000+0000,teknia_group,7134,Atomising Air Pressure,Atomising Air Pressure,False,,False,895382,005565 - 2,Running,2024-01-04 10:04:18.000+0000,Heating/Cooling Gretje FB,005565 - 2,29,149,MARIFARM,005565,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
2e9e2db7-0b04-4ecd-996e-252717e9b374,False,True,29.4,2024-01-12 10:33:18.000+0000,teknia_group,7130,Product Temperature,Product Temperature,False,,True,895036,008633 - 3,Stopped,2024-01-12 10:33:18.000+0000,Heating/Cooling Sušenje (gretje/hlajenje),008633 - 3,27,149,MARIFARM,008633,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
53e13ae9-995c-40be-b013-30ada033e7e0,False,True,2727.0,2025-09-12 07:08:43.000+0000,teknia_group,7132,Total Air Flow,Total Air Flow,False,,True,894147,011011 - 2,Running,2025-09-12 07:08:43.000+0000,Charging Polnjenje,011011 - 2,41,149,MARIFARM,011011,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
0193e3ec-204d-4191-bea6-d7369e2499ab,False,True,744.0,2025-03-19 18:03:18.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,897233,010336-1 - 7,Running,2025-03-19 18:03:18.000+0000,Discharging Praznjenje,010336-1 - 7,81,149,MARIFARM,010336-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
5f2b8210-f573-40c7-8bf2-d11f48d73872,False,True,2.4,2025-06-13 08:59:51.000+0000,teknia_group,7134,Atomising Air Pressure,Atomising Air Pressure,False,,True,897152,010714-1 - 6,Stopped,2025-06-13 08:59:51.000+0000,Heating/Cooling Susenje,010714-1 - 6,25,149,MARIFARM,010714-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
c36a2a18-ec90-4929-bb60-0dea112f02db,True,True,20.8,2024-03-19 12:18:16.000+0000,teknia_group,7142,Inlet Air Handler Exit Temp.,Inlet Air Handler Exit Temp.,False,,True,905198,005566 - 15,Running,2024-03-19 12:18:16.000+0000,Discharging Side Praznjnje polnega FB,005566 - 15,83,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
53733cdb-e689-4760-90ec-73d20779c7ef,True,True,0.0,2024-03-25 08:17:13.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,True,905196,008973 - 9,Running,2024-03-25 08:17:13.000+0000,Preconditioning,008973 - 9,10,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
3596d4df-e4ca-4edc-97d7-de911b29a0e7,True,True,2095.0,2024-03-19 12:11:24.000+0000,teknia_group,7132,Total Air Flow,Total Air Flow,False,,True,905199,005566 - 14,Running,2024-03-19 12:11:24.000+0000,Heating/Cooling Susenje,005566 - 14,25,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
4c824b7b-c211-42e6-a538-a5074ce58415,False,True,0.0,2025-06-11 14:45:20.000+0000,teknia_group,7136,Spray Quantity Operation,Spray Quantity Operation,False,,True,897163,010711-1 - 1,Running,2025-06-11 14:45:20.000+0000,Preconditioning,010711-1 - 1,10,149,MARIFARM,010711-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
1c40cc00-1c7d-4b87-b62a-30badf0ad2a5,False,True,1936.0,2024-01-19 10:33:42.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,895043,008639 - 5,Stopped,2024-01-19 10:33:42.000+0000,Discharging Side Praznjenje,008639 - 5,81,149,MARIFARM,008639,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
4877f461-621b-47cf-b899-e9d035b7bbb2,False,True,843.0,2025-05-21 09:01:11.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,True,894197,010507 - 5,Stopped,2025-05-21 09:01:11.000+0000,Discharging Praznjenje,010507 - 5,81,149,MARIFARM,010507,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
364c7e46-95c0-46c2-995a-abf4d1143d99,False,True,0.0,2025-09-25 08:24:31.000+0000,teknia_group,7135,Spray Rate,Spray Rate,False,,True,895372,011023 - 1,Running,2025-09-25 08:24:31.000+0000,Preconditioning,011023 - 1,10,149,MARIFARM,011023,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
360e5dd3-943f-43be-afd7-0f74c80c930a,True,True,11.53,2024-03-25 09:15:58.000+0000,teknia_group,7136,Spray Quantity Operation,Spray Quantity Operation,False,,True,905192,008973 - 13,Running,2024-03-25 09:15:58.000+0000,Spraying Granulacija,008973 - 13,62,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
ffcdbb7f-3da0-41bc-883e-e096049710b3,True,True,2469.75,2024-12-11 09:10:29.000+0000,teknia_group,7139,PD Product,PD Product,False,,True,905184,009925 - 13,Stopped,2024-12-11 09:10:29.000+0000,Spraying Granulacija,009925 - 13,62,149,MARIFARM,009925,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
38f0143d-2fcd-4a18-9c8e-bcf98744b7d0,False,True,303.0,2025-09-11 11:04:44.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,True,894145,011008 - 5,Stopped,2025-09-11 11:04:44.000+0000,Discharging Praznjenje,011008 - 5,81,149,MARIFARM,011008,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
58bf06fd-fe0d-4b36-b5bb-be34d063172d,False,True,25.6,2024-03-19 10:15:52.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,False,895389,005566 - 1,Running,2024-03-19 10:15:52.000+0000,Preconditioning,005566 - 1,10,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
f4c2f0f1-9912-4fad-927f-204f6c27b663,False,True,85.0,2025-06-11 08:14:54.000+0000,teknia_group,7129,Inlet Air Temperature,Inlet Air Temperature,False,,True,897175,010711 - 5,Running,2025-06-11 08:14:54.000+0000,Spraying Prsenje,010711 - 5,61,149,MARIFARM,010711,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
0b872858-9893-41ec-bf35-164c2eb6a126,False,True,11.81,2024-01-12 09:20:39.000+0000,teknia_group,7138,Dehumidification Temp.,Dehumidification Temp.,False,,True,895035,008633 - 2,Running,2024-01-12 09:20:39.000+0000,Charging Polnjenje,008633 - 2,41,149,MARIFARM,008633,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
57a6a987-b588-4dd3-b4cb-24a2b5e4cffc,False,True,26.8,2024-01-11 11:06:19.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,True,895030,008579 - 2,Running,2024-01-11 11:06:19.000+0000,Charging Polnjenje,008579 - 2,41,149,MARIFARM,008579,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
318e0af1-bf66-4112-9cae-8b436b1f8a02,False,True,13.4,2025-03-18 08:44:16.000+0000,teknia_group,7138,Dehumidification Temp.,Dehumidification Temp.,False,,True,897247,010333-1 - 5,Stopped,2025-03-18 08:44:16.000+0000,Spraying Prsenje,010333-1 - 5,61,149,MARIFARM,010333-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
1e0eb48b-6c5b-4ffc-895f-2363865e5f72,True,True,0.0,2024-03-25 09:55:26.000+0000,teknia_group,7135,Spray Rate,Spray Rate,False,,True,905191,008973 - 14,Stopped,2024-03-25 09:55:26.000+0000,Heating/Cooling Susenje,008973 - 14,25,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
c315223f-475d-47dc-8671-c9fcdc7312c5,False,True,0.0,2024-01-11 07:20:56.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,True,895029,008579 - 1,Running,2024-01-11 07:20:56.000+0000,Preconditioning Predgretje,008579 - 1,11,149,MARIFARM,008579,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
78ded5d3-07df-4eb8-b501-d32c8fb11cd7,False,True,24.4,2025-09-25 09:58:07.000+0000,teknia_group,7137,Spray Quantity Total,Spray Quantity Total,False,,True,895377,011023 - 6,Stopped,2025-09-25 09:58:07.000+0000,Heating/Cooling Susenje granulata,011023 - 6,26,149,MARIFARM,011023,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
e95ec192-f0f4-46fe-9162-2f5ca8a8bf84,False,True,30.08,2025-09-12 07:53:15.000+0000,teknia_group,7129,Inlet Air Temperature,Inlet Air Temperature,False,,True,894147,011011 - 2,Running,2025-09-12 07:53:15.000+0000,Charging Polnjenje,011011 - 2,41,149,MARIFARM,011011,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
9c742c91-7ef8-4290-8076-29c7345ab112,False,True,24.0,2025-03-19 10:16:08.000+0000,teknia_group,7130,Product Temperature,Product Temperature,False,,True,897242,010336 - 8,Stopped,2025-03-19 10:16:08.000+0000,Discharging Koncno praznjenje,010336 - 8,137,149,MARIFARM,010336,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
cd63a70b-36b9-47a9-a5aa-1f4e02e140f1,False,True,0.0,2025-03-13 14:58:10.000+0000,teknia_group,7135,Spray Rate,Spray Rate,False,,True,897274,010330 - 4,Running,2025-03-13 14:58:10.000+0000,Heating/Cooling Gretje surovin,010330 - 4,24,149,MARIFARM,010330,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
9f56e4c2-91fe-4797-9394-f6d514475f9f,True,True,208.0,2024-12-11 08:48:55.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,True,905185,009925 - 12,Running,2024-12-11 08:48:55.000+0000,Heating/Cooling Gretje nad T granulacije,009925 - 12,30,149,MARIFARM,009925,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
0cc89a04-1974-48de-952c-57e4a2654465,False,True,0.0,2025-05-20 06:25:56.000+0000,teknia_group,7139,PD Product,PD Product,False,,True,894186,010504 - 1,Running,2025-05-20 06:25:56.000+0000,Preconditioning Predgretje,010504 - 1,11,149,MARIFARM,010504,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
bab4004a-7fa1-4862-9070-ee4ebb59518a,False,True,26.1,2025-09-09 09:04:50.000+0000,teknia_group,7130,Product Temperature,Product Temperature,False,,True,894133,011002 - 3,Stopped,2025-09-09 09:04:50.000+0000,Heating/Cooling Sušenje (gretje/hlajenje),011002 - 3,27,149,MARIFARM,011002,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
b1ba1f03-0b0f-4155-8e09-8ad4aff4a79c,True,True,32.6,2024-03-25 10:22:31.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,True,905190,008973 - 15,Running,2024-03-25 10:22:31.000+0000,Discharging Praznjnje polnega FB,008973 - 15,92,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
74060857-6003-4233-95ea-1c213fb34d76,False,True,1493.0,2025-06-12 16:57:21.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,897159,010714 - 5,Running,2025-06-12 16:57:21.000+0000,Spraying Prsenje,010714 - 5,61,149,MARIFARM,010714,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
589f3aa5-3027-41f6-8656-a8008cf796d6,False,True,2480.0,2024-01-11 12:06:48.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,895031,008579 - 3,Stopped,2024-01-11 12:06:48.000+0000,Heating/Cooling Sušenje (gretje/hlajenje),008579 - 3,27,149,MARIFARM,008579,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
a6770310-be05-4d4a-ab20-451bc41e7522,False,True,21.85,2024-01-19 07:10:53.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,True,895039,008639 - 1,Running,2024-01-19 07:10:53.000+0000,Preconditioning Predgretje,008639 - 1,11,149,MARIFARM,008639,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
8de44987-4aff-4704-b44d-07a488e93e88,True,True,498.33,2024-03-25 09:39:58.000+0000,teknia_group,7135,Spray Rate,Spray Rate,False,,True,905192,008973 - 13,Running,2024-03-25 09:39:58.000+0000,Spraying Granulacija,008973 - 13,62,149,MARIFARM,008973,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
47b3e03d-587e-4b3d-bbb6-a3f686a98be1,False,True,2501.0,2025-05-19 07:38:44.000+0000,teknia_group,7132,Total Air Flow,Total Air Flow,False,,True,894181,010501 - 2,Running,2025-05-19 07:38:44.000+0000,Charging Polnjenje,010501 - 2,41,149,MARIFARM,010501,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
